-10,0,4,4,0.185,-5.425,-3.983,164,0,1,0.001
-9,0,4,4,0.158,-5.425,-3.983,135,0,1,0.001
-8,0,4,4,0.138,-5.425,-3.983,102,0,1,0.001
-7,0,4,4,0.156,-5.425,-3.983,131,0,1,0.001
-6,0,4,4,0.021,NaN,NaN,14,0,0,0.001
-5,0,4,4,0.008,NaN,NaN,4,0,0,0.002
-4,0,4,4,0.008,NaN,NaN,4,0,0,0.002
-3,0,4,4,0.008,NaN,NaN,4,0,0,0.002
-2,0,4,4,0.008,NaN,NaN,4,0,0,0.002
-1,0,4,4,0.008,NaN,NaN,4,0,0,0.002
