1,0.049,-5.924,-5.38,14,0.003,5175,5106,1
1,0.088,-5.924,-5.38,30,0.003,8280,6486,1
2,0.411,-6.697,-5.958,30,0.014,49320,37812,1
2,0.359,-6.697,-5.958,39,0.009,52334,33976,1
3,2.404,-7.378,-6.245,24,0.1,108450,82422,1
3,2.761,-7.378,-6.245,40,0.069,138093,88206,1
