-9,0,4,4,0.106,-6.061,-4.026,67,6,1
-8,0,4,4,0.142,-6.061,-4.026,49,33,1
-7,0,4,4,0.176,-6.061,-4.026,76,1,1
-6,0,4,4,0.172,-6.061,-4.026,64,5,1
-5,0,4,4,0.164,-6.061,-4.026,62,11,1
-4,0,4,4,0.189,-6.061,-4.026,74,1,1
-3,0,4,4,0.2,-6.061,-4.026,78,1,1
-2,0,4,4,0.344,-1.645,-1.532,130,10,0
-1,0,4,4,0.689,-1.646,-1.522,279,3,0
0,0,4,4,0.447,-6.061,-4.026,179,2,1
