1,0.27,66,1254,-6.2,-7.65
1,0.27,55,6677,-4.94,-5.58
2,3.35,111,44289,-5.74,-8.38
2,5.63,110,189805,-5.83,-7.05
3,59.33,97,425733,-5.92,-8.1
3,87.49,88,1940771,-5.7,-7.02
